source,gear,win,arrive,done,dropped,cum_arrived,cum_done,cum_dropped,hit_n,empty_n,rt_hit_p50,rt_empty_p50,prep_hit_p50,prep_empty_p50,thermal,battC,bucketed
camera_sweep1.log,3,99,29.98,29.98,0,1079,1079,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,100,30.02,30.02,0,1140,1140,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,101,30.0,30.0,0,1200,1200,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,102,29.93,29.93,0,1261,1261,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,103,30.15,30.15,0,1322,1322,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,104,29.96,29.96,0,1382,1382,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,105,29.99,29.99,0,1442,1442,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,106,29.98,29.98,0,1503,1503,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,107,30.18,30.18,0,1564,1564,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,108,29.93,29.93,0,1624,1624,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,109,29.9,29.9,0,1684,1684,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,110,30.0,30.0,0,1744,1744,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,111,29.98,29.98,0,1805,1805,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,112,30.12,30.12,0,1866,1866,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,113,30.05,30.05,0,1927,1927,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,114,29.99,29.99,0,1988,1988,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,115,29.99,29.99,0,2049,2049,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,116,29.97,29.97,0,2109,2109,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,117,30.05,30.05,0,2170,2170,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,118,30.03,30.03,0,2231,2231,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,119,30.03,30.03,0,2292,2292,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,120,29.9,29.9,0,2352,2352,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,121,30.0,30.0,0,2413,2413,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,122,30.06,30.06,0,2474,2474,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,123,30.03,30.03,0,2535,2535,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,124,30.05,30.05,0,2596,2596,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,125,29.96,29.96,0,2656,2656,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,126,30.0,30.0,0,2716,2716,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,127,30.08,30.08,0,2777,2777,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,128,29.93,29.93,0,2837,2837,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,129,30.05,30.05,0,2898,2898,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,130,30.03,30.03,0,2959,2959,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep1.log,3,131,29.99,29.99,0,3019,3019,0,0,0,-1.0,-1.0,-1.0,-1.0,3,40.0,True
camera_sweep2.log,0,1,22.2,22.2,0,45,45,0,30,0,43.0,-1.0,1.0,-1.0,3,39.0,True
camera_sweep2.log,0,2,22.73,22.73,0,91,91,0,30,0,42.0,-1.0,1.0,-1.0,3,39.0,True
camera_sweep2.log,0,3,26.73,26.73,0,145,145,0,30,0,33.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,4,24.44,24.44,0,194,194,0,30,0,38.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,5,22.21,22.21,0,239,239,0,30,0,38.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,6,24.14,24.14,0,288,288,0,30,0,34.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,7,24.62,24.62,0,338,338,0,30,0,31.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,8,24.35,24.35,0,387,387,0,30,0,38.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,9,22.81,22.81,0,433,433,0,30,0,40.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,10,22.89,22.89,0,479,479,0,30,0,38.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,11,24.95,24.95,0,529,529,0,30,0,38.0,-1.0,1.0,-1.0,3,40.0,True
