round,t_s,thermal,battC,soc,charging,load,totalMs,code,cropSum,det_landed,det_l2,rec_landed,rec_l2,detect_ms,letterbox_ms,encInfer_ms,decNms_ms,rectify_ms,recog_ms,cls_ms,pack_ms,infer_ms,cpu_side_ms,npu_side_ms
43,645,2,35.0,100,3,2,46.9619,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,32.2088,2.8702,28.6178,0.0222,1.6523,12.9959,0.0889,0.4883,28.1295,33.9500,12.9959
44,660,2,35.0,100,3,2,98.3325,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,68.3320,9.7661,55.3364,0.0811,7.6600,22.1884,0.1145,1.4494,53.8870,76.1065,22.1884
45,675,2,35.0,100,3,2,102.563,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,71.1892,10.0409,57.8447,0.0848,7.6923,23.2644,0.3644,1.4436,56.4011,79.2459,23.2644
46,690,2,35.0,100,3,2,74.4286,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,57.3259,9.7537,46.8422,0.0238,2.1803,14.7642,0.1187,1.4450,45.3972,59.6249,14.7642
47,705,2,35.0,100,3,2,83.5948,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,66.6980,9.8250,55.9180,0.0275,2.2458,14.5042,0.1100,1.4417,54.4762,69.0538,14.5042
48,720,2,35.0,100,3,2,95.508,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,67.4127,10.1000,54.0927,0.0861,7.7778,20.1677,0.1128,1.4387,52.6539,75.3033,20.1677
49,735,2,35.0,100,3,2,69.3528,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.2309,9.9577,43.4559,0.0219,1.6617,13.3309,0.0844,1.4386,42.0173,55.9770,13.3309
50,750,2,35.0,100,3,2,105.9705,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,76.3469,10.5583,62.5517,0.0786,7.6903,21.6870,0.2056,1.4394,61.1123,84.2428,21.6870
51,765,2,35.0,100,3,2,90.9737,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,66.2095,9.8891,53.0270,0.0758,7.6906,16.9264,0.1109,1.4394,51.5877,74.0110,16.9264
52,780,2,35.0,100,3,2,50.2945,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,35.3159,2.6637,31.9306,0.0192,1.5453,13.3206,0.0972,0.3577,31.5730,36.9584,13.3206
53,795,2,35.0,100,3,2,63.0598,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,46.1436,9.9563,35.2259,0.0266,2.2189,14.5498,0.0983,1.4414,33.7845,48.4608,14.5498
54,810,2,35.0,100,3,2,72.178,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,55.8800,9.8530,45.0783,0.0255,2.2002,13.9634,0.0972,1.4420,43.6362,58.1774,13.9634
55,1023,2,35.0,100,3,2,150.3406,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,55.0666,17.7986,36.1586,0.0738,25.6202,56.0191,8.6820,3.1016,33.0570,89.3688,56.0191
56,1038,2,34.0,100,3,2,91.0659,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.6128,10.4272,38.6700,0.1192,13.1653,22.8113,0.4147,1.4475,37.2225,68.1928,22.8113
57,1053,2,34.0,100,3,2,87.9289,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.0744,10.2497,46.5045,0.4800,8.2086,17.8781,0.7173,3.5153,42.9892,70.0003,17.8781
58,1068,2,35.0,100,3,2,60.6592,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,44.1666,7.5638,35.1569,0.0255,1.5703,14.8050,0.0923,2.0570,33.0998,45.8292,14.8050
59,1083,2,35.0,100,3,2,68.537,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,50.3895,11.9491,37.4948,0.0273,2.0703,15.7519,0.2750,2.3780,35.1169,52.7348,15.7519
60,1098,2,35.0,100,3,2,53.8948,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,29.5633,2.8594,23.8852,0.0883,8.2173,15.8138,0.2745,0.3809,23.5042,38.0551,15.8138
61,1113,2,35.0,100,3,2,82.7898,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,58.9161,10.2227,45.3523,0.0733,7.3155,16.2070,0.3027,2.4130,42.9394,66.5343,16.2070
62,1128,2,35.0,100,3,2,87.2492,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,62.0911,14.4438,45.5475,0.0658,6.5866,18.0594,0.4547,4.1956,41.3519,69.1324,18.0594
63,1143,2,35.0,100,3,2,73.3003,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.4506,9.9911,43.4470,0.0256,2.9819,15.5250,0.2981,2.3692,41.0778,57.7306,15.5250
64,1158,2,35.0,100,3,2,91.9497,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,62.5370,14.1473,44.2716,0.1656,8.4677,20.3053,0.5836,3.4344,40.8372,71.5883,20.3053
65,1173,2,35.0,100,3,2,96.7008,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,70.9586,13.4919,53.7841,0.0903,6.9442,18.4453,0.2956,3.4581,50.3259,78.1984,18.4453
66,1188,2,35.0,100,3,2,61.9192,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,38.5827,2.6080,33.4906,0.0544,7.0516,15.9513,0.3127,0.3673,33.1233,45.9470,15.9513
67,1203,2,35.0,100,3,2,90.79,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,65.6961,14.4533,48.0572,0.0742,7.1273,17.5967,0.3156,3.2703,44.7869,73.1390,17.5967
68,1218,2,35.0,100,3,2,90.2816,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,65.2237,14.6439,47.0064,0.0934,7.2728,17.4289,0.3011,3.0838,43.9227,72.7976,17.4289
69,1233,2,35.0,100,3,2,79.8539,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.4428,12.4414,47.9791,0.0288,2.1689,15.8005,0.3841,3.1164,44.8627,63.9958,15.8005
70,1248,2,35.0,100,3,2,91.9841,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,64.5686,15.2398,45.7445,0.0911,8.5456,18.4338,0.3783,3.8338,41.9108,73.4925,18.4338
71,1263,2,35.0,100,3,2,99.7808,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,72.7947,14.3689,54.8781,0.0688,7.7167,18.9163,0.3028,3.5013,51.3769,80.8142,18.9163
72,1278,2,35.0,100,3,2,90.9345,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,66.0062,13.7720,48.7825,0.0798,6.5666,18.0300,0.2797,3.5122,45.2703,72.8525,18.0300
73,1293,2,35.0,100,3,2,91.7586,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,63.4930,13.5877,46.2500,0.0872,7.0600,20.9359,0.2222,3.3913,42.8587,70.7752,20.9359
74,1308,2,35.0,100,3,2,72.6913,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,49.7523,9.9255,36.8311,0.0694,6.7797,15.8227,0.2941,1.4455,35.3856,56.8261,15.8227
75,1323,2,35.0,100,3,2,59.8698,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,37.3967,2.9836,31.6316,0.0795,6.7342,15.6059,0.1141,0.4058,31.2258,44.2450,15.6059
76,1338,2,35.0,100,3,2,101.4127,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,75.4325,17.3867,54.4369,0.0828,7.8875,17.6984,0.3188,3.9809,50.4559,83.6388,17.6984
77,1353,2,35.0,100,3,2,89.8155,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,62.5323,16.8302,42.0003,0.1006,8.9064,17.9561,0.3472,3.1512,38.8491,71.7859,17.9561
78,1368,2,35.0,100,3,2,87.6558,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,62.3063,11.0189,48.0033,0.0906,6.9744,18.0364,0.2884,2.4033,45.6000,69.5691,18.0364
79,1383,2,35.0,100,3,2,78.6978,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,51.7275,13.5739,34.3077,0.0889,8.9289,17.6078,0.3777,3.3647,30.9430,61.0341,17.6078
