SESSION MODE gear=0 mode=NORMAL_PHOTO vout=0 fpsTarget=30
CAMRUN BEGIN ts=1789977262506 gear=0 analyze=640x480 show=960x960 rotation=90 settleMs=45000 warmupFrames=10 window=30 detModel=models/y5fu_320x_head_fp32.ms recModel=models/rpv3_mdict_160_r3.ms analyzeTargetW=640 fpsTarget=30
STREAM START show=960x960 analyze=640x480 rot=90 mode=NORMAL_PHOTO vout=0 fpsTarget=30
RATE win=11 arrive=46.81 done=46.31 dropped_in_win=0 cum_arrived=1014 cum_done=1013 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=18.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=40.0
STAGE n=1020 conv=2.4922 infer=9.8328 count=0 wh=480x640 rgbaSum=100793931 stages=-
STAGE n=1050 conv=2.9022 infer=11.6761 count=0 wh=480x640 rgbaSum=100795587 stages=-
STAGE n=1080 conv=2.9733 infer=17.6639 count=0 wh=480x640 rgbaSum=100496200 stages=-
RATE win=12 arrive=44.43 done=44.93 dropped_in_win=0 cum_arrived=1103 cum_done=1103 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=18.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1110 conv=5.6452 infer=17.5683 count=0 wh=480x640 rgbaSum=100866143 stages=-
STAGE n=1140 conv=3.2964 infer=11.3242 count=0 wh=480x640 rgbaSum=100868066 stages=-
STAGE n=1170 conv=6.0331 infer=12.8184 count=0 wh=480x640 rgbaSum=100877168 stages=-
RATE win=13 arrive=46.25 done=45.75 dropped_in_win=0 cum_arrived=1196 cum_done=1195 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1200 conv=4.5520 infer=11.1287 count=0 wh=480x640 rgbaSum=100884049 stages=-
STAGE n=1230 conv=4.2000 infer=12.0287 count=0 wh=480x640 rgbaSum=100617969 stages=-
STAGE n=1260 conv=4.1411 infer=17.0288 count=0 wh=480x640 rgbaSum=100573211 stages=-
STAGE n=1290 conv=3.4148 infer=12.5380 count=0 wh=480x640 rgbaSum=100742360 stages=-
RATE win=14 arrive=47.62 done=47.62 dropped_in_win=0 cum_arrived=1292 cum_done=1291 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1320 conv=4.5547 infer=11.7208 count=0 wh=480x640 rgbaSum=100640064 stages=-
STAGE n=1350 conv=4.9500 infer=11.8567 count=0 wh=480x640 rgbaSum=100750195 stages=-
STAGE n=1380 conv=2.8142 infer=11.3086 count=0 wh=480x640 rgbaSum=100857106 stages=-
RATE win=15 arrive=47.45 done=47.45 dropped_in_win=0 cum_arrived=1388 cum_done=1387 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=16.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1410 conv=3.0848 infer=10.0094 count=0 wh=480x640 rgbaSum=101407958 stages=-
STAGE n=1440 conv=7.6716 infer=13.6034 count=0 wh=480x640 rgbaSum=100927570 stages=-
STAGE n=1470 conv=4.7661 infer=11.4677 count=0 wh=480x640 rgbaSum=99783486 stages=-
RATE win=16 arrive=44.84 done=44.84 dropped_in_win=0 cum_arrived=1478 cum_done=1477 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1500 conv=4.5114 infer=11.4942 count=0 wh=480x640 rgbaSum=99255785 stages=-
STAGE n=1530 conv=3.2617 infer=11.7067 count=0 wh=480x640 rgbaSum=99245858 stages=-
STAGE n=1560 conv=4.1806 infer=14.0133 count=0 wh=480x640 rgbaSum=137937157 stages=-
RATE win=17 arrive=44.84 done=45.34 dropped_in_win=0 cum_arrived=1568 cum_done=1568 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=19.00 prep_hit_p50=-1.00 prep_empty_p50=2.00 thermal=3 battC=41.0
STAGE n=1590 conv=4.4958 infer=11.7684 count=0 wh=480x640 rgbaSum=132909496 stages=-
STAGE n=1620 conv=2.9434 infer=10.5503 count=0 wh=480x640 rgbaSum=132001138 stages=-
STAGE n=1650 conv=5.2641 infer=12.0803 count=0 wh=480x640 rgbaSum=131100203 stages=-
RATE win=18 arrive=45.95 done=45.95 dropped_in_win=0 cum_arrived=1660 cum_done=1660 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1680 conv=4.6284 infer=11.6841 count=0 wh=480x640 rgbaSum=130781627 stages=-
STAGE n=1710 conv=2.7142 infer=13.4348 count=0 wh=480x640 rgbaSum=130843747 stages=-
STAGE n=1740 conv=4.8384 infer=13.4638 count=0 wh=480x640 rgbaSum=130844489 stages=-
RATE win=19 arrive=46.77 done=46.77 dropped_in_win=0 cum_arrived=1754 cum_done=1754 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=18.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1770 conv=2.7661 infer=9.0348 count=0 wh=480x640 rgbaSum=130825939 stages=-
STAGE n=1800 conv=3.9814 infer=11.7644 count=0 wh=480x640 rgbaSum=130883627 stages=-
STAGE n=1830 conv=2.4089 infer=9.5052 count=0 wh=480x640 rgbaSum=130822881 stages=-
RATE win=20 arrive=49.65 done=49.16 dropped_in_win=0 cum_arrived=1854 cum_done=1853 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1860 conv=4.4403 infer=10.3219 count=0 wh=480x640 rgbaSum=130828081 stages=-
STAGE n=1890 conv=3.4169 infer=10.1042 count=0 wh=480x640 rgbaSum=130807036 stages=-
STAGE n=1920 conv=2.6686 infer=9.3552 count=0 wh=480x640 rgbaSum=130773156 stages=-
RATE win=21 arrive=47.98 done=48.48 dropped_in_win=0 cum_arrived=1950 cum_done=1950 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=18.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=1950 conv=4.0539 infer=12.9108 count=0 wh=480x640 rgbaSum=130750053 stages=-
STAGE n=1980 conv=4.8689 infer=10.2505 count=0 wh=480x640 rgbaSum=130748496 stages=-
STAGE n=2010 conv=5.5058 infer=11.0577 count=0 wh=480x640 rgbaSum=130763019 stages=-
RATE win=22 arrive=45.36 done=44.87 dropped_in_win=0 cum_arrived=2041 cum_done=2040 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=18.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=2040 conv=3.7830 infer=11.0100 count=0 wh=480x640 rgbaSum=130848225 stages=-
STAGE n=2070 conv=4.9455 infer=10.7522 count=0 wh=480x640 rgbaSum=89429383 stages=-
STAGE n=2100 conv=3.6450 infer=11.4514 count=0 wh=480x640 rgbaSum=95150722 stages=-
STAGE n=2130 conv=3.1264 infer=9.4655 count=0 wh=480x640 rgbaSum=96447135 stages=-
RATE win=23 arrive=47.26 done=47.26 dropped_in_win=0 cum_arrived=2136 cum_done=2135 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=2160 conv=3.9527 infer=11.6037 count=0 wh=480x640 rgbaSum=96525300 stages=-
STAGE n=2190 conv=3.8473 infer=11.1353 count=0 wh=480x640 rgbaSum=96371349 stages=-
STAGE n=2220 conv=2.5041 infer=11.2297 count=0 wh=480x640 rgbaSum=96193906 stages=-
RATE win=24 arrive=48.00 done=48.00 dropped_in_win=0 cum_arrived=2232 cum_done=2231 cum_dropped=0 gear=8 hit_n=0 empty_n=30 rt_hit_p50=-1.00 rt_empty_p50=17.00 prep_hit_p50=-1.00 prep_empty_p50=1.00 thermal=3 battC=41.0
STAGE n=2250 conv=4.5981 infer=11.1897 count=0 wh=480x640 rgbaSum=95728596 stages=-
STAGE n=2280 conv=4.7136 infer=11.5166 count=0 wh=480x640 rgbaSum=96345996 stages=-
